venue;type;capacity
The Lone Star Saloon;bar;-
Contemporary Jewish Museum;museum;1000
Hotel Zetta;hotel;175
Davies Symphony Hall;symphony;2743
Amado's;bar;148
Golden Gate Theatre;theatre;2297
Make-Out Room;club;-
PianoFight;theatre;134
HALCYON SF;club;400
DNA Lounge;club;1100
Omnivore Books;bookshop;-
Roxie Theater;theatre;300
El Rio;bar;500
Tupelo;bar;-
LOVE + PROPAGANDA;club;400
Monarch;club;300
Freight & Salvage;theatre;220
Yoshi's Oakland;club;310
The Golden Bull;restaurant;150
Asian Art Museum;museum;1500
The Foundry;event;500
Eli's Mile High Club;bar;300
San Francisco Arts Commission Gallery;-;-
The Center SF;event;300
Great American Music Hall;theatre;470
Powerhouse;bar;-
Chase Center;stadium;18064
Alamo Drafthouse Cinema;cinema;150
Punch Line San Francisco;comedy;240
Oakland-Alameda County Coliseum;stadium;63000
The New Parish;music;400
The Warfield;theatre;2300
Oakland Metro Operahouse;theatre;1000
Cat Club;bar;400
The Regency Ballroom;event;1400
SF LGBT Center;community;500
The EndUp;club;100
Hosfelt Gallery;museum;-
Rickshaw Stop;music;700
Oasis;club;150
Black Cat;bar;40
Yerba Buena Center for the ARts;event;850
Cornerstone;church;5400
Monroe;club;250
Mayes Oyster House;bar;250
San Francisco Playhouse;theatre;199
Jerry Garcia Amphitheater;theatre;1200
The Midway;music;2500
Exploratorium;museum;1100
Cobb's Comedy Club;comedy;400
MODERNISM INC.;museum;100
Fox Theater;theatre;4651
Club Deluxe;music;-
SFJAZZ Center;music;700
Phoenix Hotel;hotel;-
Museum of the African Diaspora (MOAD);museum;125
W San Francisco Hotel;hotel;-
The Hotel Utah Saloon;bar;200
August Hall;music;951
The Great Northern;club;700
San Francisco Botanical Garden;event;800
de Young Museum;museum;2500
The Knockout;bar;200
Yerba Buena Gardens;public;5000
Fort Mason Center;event;3800
California Instutute of Integral Studies;-;-
Paramount Theatre;theatre;3040
White Horse Bar;bar;-
Piedmont Piano Company;-;-
Greek Theatre;theatre;8500
Thee Parkside;bar;300
Ivy Room;music;200
924 Gilman;music;300
Ashkenaz Music & Dance Community Center;community;200
Bottom Of The Hill;music;350
Zeitgeist;bar;291
Audio SF;music;400
The New Parkway;bios;285
The UC Theatre;music;1400
Bergerac;bar;250
Temple;club;1100
Online;-;-
Bach Dancing & Dynamite Society;music;191
The Chapel;music;1000
St. Paul's Episcopal Church;church;850
Zellerbach Hall at UC Berkeley;theatre;2000
Oakland Asian Cultural Center;event;325
Bill Graham Civic Auditorium;music;8500
Aurora Theatre;theatre;1600
Brick & Mortar Music Hall;music;250
1015 Folsom;club;900
Balboa Theater;theatre;1335
Washington Inn;hotel;-
The Masonic;music;3481
Aquarium of the Bay;event;1250
All over the Bay Area;public;-
Community Music Center;music;-
Starlite Room;hotel;250
Mill Valley Community Center in Mill Valley;event;400
Boom Boom Room;music;200
Alcazar Theatre;theatre;511
The Fillmore;music;1315
The Ferry Marketplace/Embarcadero;event;650
Union Square;public;3500
